天 ㄊㄧㄢ
形 ㄒㄧㄥˊ
端 ㄉㄨㄢ
表 ㄅㄧㄠˇ
正 ㄓㄥˋ
空 ㄎㄨㄥ
谷 ㄍㄨˇ
傳 ㄔㄨㄢˊ
聲 ㄕㄥ
虛 ㄒㄩ
堂 ㄊㄤˊ
習 ㄒㄧˊ
聽 ㄊㄧㄥˋ
禍 ㄏㄨㄛˋ
因 ㄧㄣ
惡 ㄜˋ
積 ㄐㄧ
福 ㄈㄨˊ
緣 ㄩㄢˊ
善 ㄕㄢˋ
慶 ㄑㄧㄥˋ
尺 ㄔˇ
璧 ㄅㄧˋ
非 ㄈㄟ
寶 ㄅㄠˇ
寸 ㄘㄨㄣˋ
陰 ㄧㄣ
是 ㄕˋ
競 ㄐㄧㄥˋ
資 ㄗ
父 ㄈㄨˋ
事 ㄕˋ
君 ㄐㄩㄣ
曰 ㄩㄝ
嚴 ㄧㄢˊ
與 ㄩˇ
敬 ㄐㄧㄥˋ
孝 ㄒㄧㄠˋ
當 ㄉㄤ
竭 ㄐㄧㄝˊ
力 ㄌㄧˋ
忠 ㄓㄨㄥ
則 ㄗㄜˊ
盡 ㄐㄧㄣˋ
命 ㄇㄧㄥˋ
臨 ㄌㄧㄣˊ
深 ㄕㄣ
履 ㄌㄩˇ
薄 ㄅㄛˊ
夙 ㄙㄨˋ
興 ㄒㄧㄥ
溫 ㄨㄣ
凊 ㄐㄧㄥˋ
似 ㄙˋ
蘭 ㄌㄢˊ
斯 ㄙ
馨 ㄒㄧㄣ
如 ㄖㄨˊ
松 ㄙㄨㄥ
之 ㄓ
盛 ㄕㄥˋ
川 ㄔㄨㄢ
流 ㄌㄧㄡˊ
不 ㄅㄨˋ
息 ㄒㄧˊ
淵 ㄩㄢ
澄 ㄔㄥˊ
取 ㄑㄩˇ
映 ㄧㄥˋ
容 ㄖㄨㄥˊ
止 ㄓˇ
若 ㄖㄨㄛˋ
思 ㄙ
言 ㄧㄢˊ
辭 ㄘˊ
安 ㄢ
定 ㄉㄧㄥˋ
篤 ㄉㄨˇ
初 ㄔㄨ
誠 ㄔㄥˊ
美 ㄇㄟˇ
慎 ㄕㄣˋ
終 ㄓㄨㄥ
宜 ㄧˊ
令 ㄌㄧㄥˋ
榮 ㄖㄨㄥˊ
業 ㄧㄝˋ
所 ㄙㄨㄛˇ
基 ㄐㄧ
藉 ㄐㄧˊ
甚 ㄕㄣˋ
無 ㄨˊ
竟 ㄐㄧㄥˋ
學 ㄒㄩㄝˊ
優 ㄧㄡ
登 ㄉㄥ
仕 ㄕˋ
攝 ㄕㄜˋ
職 ㄓˊ
從 ㄘㄨㄥˊ
政 ㄓㄥˋ
存 ㄘㄨㄣˊ
以 ㄧˇ
甘 ㄍㄢ
棠 ㄊㄤˊ
去 ㄑㄩˋ
而 ㄦˊ
益 ㄧˋ
詠 ㄩㄥˇ
樂 ㄩㄝˋ
殊 ㄕㄨ
貴 ㄍㄨㄟˋ
賤 ㄐㄧㄢˋ
禮 ㄌㄧˇ
別 ㄅㄧㄝˊ
尊 ㄗㄨㄣ
卑 ㄅㄟ
上 ㄕㄤˇ
和 ㄏㄜˊ
下 ㄒㄧㄚˋ
睦 ㄇㄨˋ
夫 ㄈㄨ
唱 ㄔㄤˋ
婦 ㄈㄨˋ
隨 ㄙㄨㄟˊ
外 ㄨㄞˋ
受 ㄕㄡˋ
傅 ㄈㄨˋ
訓 ㄒㄩㄣˋ
入 ㄖㄨˋ
奉 ㄈㄥˋ
母 ㄇㄨˇ
儀 ㄧˊ
諸 ㄓㄨ
姑 ㄍㄨ
伯 ㄅㄛˊ
叔 ㄕㄨˊ
猶 ㄧㄡˊ
子 ㄗˇ
比 ㄅㄧˇ
兒 ㄦˊ
孔 ㄎㄨㄥˇ
懷 ㄏㄨㄞˊ
兄 ㄒㄩㄥ
弟 ㄉㄧˋ
同 ㄊㄨㄥˊ
氣 ㄑㄧˋ
連 ㄌㄧㄢˊ
枝 ㄓ
交 ㄐㄧㄠ
友 ㄧㄡˇ
投 ㄊㄡˊ
分 ㄈㄣˋ
切 ㄑㄧㄝ
磨 ㄇㄛˊ
箴 ㄓㄣ
規 ㄍㄨㄟ
仁 ㄖㄣˊ
慈 ㄘˊ
隱 ㄧㄣˇ
惻 ㄘㄜˋ
造 ㄗㄠˋ
次 ㄘˋ
弗 ㄈㄨˊ
離 ㄌㄧˊ
節 ㄐㄧㄝˊ
義 ㄧˋ
廉 ㄌㄧㄢˊ
退 ㄊㄨㄟˋ
顛 ㄉㄧㄢ
沛 ㄆㄟˋ
匪 ㄈㄟˇ
虧 ㄎㄨㄟ
性 ㄒㄧㄥˋ
靜 ㄐㄧㄥˋ
情 ㄑㄧㄥˊ
逸 ㄧˋ
心 ㄒㄧㄣ
動 ㄉㄨㄥˋ
神 ㄕㄣˊ
疲 ㄆㄧˊ
守 ㄕㄡˇ
真 ㄓㄣ
志 ㄓˋ
滿 ㄇㄢˇ
逐 ㄓㄨˊ
物 ㄨˋ
意 ㄧˋ
移 ㄧˊ
堅 ㄐㄧㄢ
持 ㄔˊ
雅 ㄧㄚˇ
操 ㄘㄠ
好 ㄏㄠˇ
爵 ㄐㄩㄝˊ
自 ㄗˋ
縻 ㄇㄧˊ
都 ㄉㄨ
邑 ㄧˋ
華 ㄏㄨㄚˊ
夏 ㄒㄧㄚˋ
東 ㄉㄨㄥ
西 ㄒㄧ
二 ㄦˋ
京 ㄐㄧㄥ
背 ㄅㄟˋ
邙 ㄇㄤˊ
面 ㄇㄧㄢˋ
洛 ㄌㄨㄛˋ
浮 ㄈㄨˊ
渭 ㄨㄟˋ
據 ㄐㄩˋ
涇 ㄐㄧㄥ
宮 ㄍㄨㄥ
殿 ㄉㄧㄢˋ
盤 ㄆㄢˊ
鬱 ㄩˋ
樓 ㄌㄡˊ
觀 ㄍㄨㄢˋ
飛 ㄈㄟ
驚 ㄐㄧㄥ
圖 ㄊㄨˊ
寫 ㄒㄧㄝˇ
禽 ㄑㄧㄣˊ
獸 ㄕㄡˋ
畫 ㄏㄨㄚˋ
綵 ㄘㄞˇ
仙 ㄒㄧㄢ
靈 ㄌㄧㄥˊ
丙 ㄅㄧㄥˇ
舍 ㄕㄜˋ
傍 ㄆㄤˊ
啟 ㄑㄧˇ
甲 ㄐㄧㄚˇ
帳 ㄓㄤˋ
對 ㄉㄨㄟˋ
楹 ㄧㄥˊ
肆 ㄙˋ
筵 ㄧㄢˊ
設 ㄕㄜˋ
席 ㄒㄧˊ
鼓 ㄍㄨˇ
瑟 ㄙㄜˋ
吹 ㄔㄨㄟ
笙 ㄕㄥ
升 ㄕㄥ
階 ㄐㄧㄝ
納 ㄋㄚˋ
陛 ㄅㄧˋ
弁 ㄅㄧㄢˋ
轉 ㄓㄨㄢˇ
疑 ㄧˊ
星 ㄒㄧㄥ
右 ㄧㄡˋ
通 ㄊㄨㄥ
廣 ㄍㄨㄤˇ
內 ㄋㄟˋ
左 ㄗㄨㄛˇ
達 ㄉㄚˊ
承 ㄔㄥˊ
明 ㄇㄧㄥˊ
既 ㄐㄧˋ
集 ㄐㄧˊ
墳 ㄈㄣˊ
典 ㄉㄧㄢˇ
亦 ㄧˋ
聚 ㄐㄩˋ
群 ㄑㄩㄣˊ
英 ㄧㄥ
杜 ㄉㄨˋ
稿 ㄍㄠˇ
鍾 ㄓㄨㄥ
隸 ㄌㄧˋ
漆 ㄑㄧ
書 ㄕㄨ
壁 ㄅㄧˋ
經 ㄐㄧㄥ
府 ㄈㄨˇ
羅 ㄌㄨㄛˊ
將 ㄐㄧㄤˋ
相 ㄒㄧㄤ
路 ㄌㄨˋ
俠 ㄒㄧㄚˊ
槐 ㄏㄨㄞˊ
卿 ㄑㄧㄥ
戶 ㄏㄨˋ
封 ㄈㄥ
八 ㄅㄚ
縣 ㄒㄧㄢˋ
家 ㄐㄧㄚ
給 ㄐㄧˇ
千 ㄑㄧㄢ
兵 ㄅㄧㄥ
高 ㄍㄠ
冠 ㄍㄨㄢ
陪 ㄆㄟˊ
輦 ㄋㄧㄢˇ
驅 ㄑㄩ
轂 ㄍㄨˇ
振 ㄓㄣˋ
纓 ㄧㄥ
世 ㄕˋ
祿 ㄌㄨˋ
侈 ㄔˇ
富 ㄈㄨˋ
車 ㄐㄩ
駕 ㄐㄧㄚˋ
肥 ㄈㄟˊ
輕 ㄑㄧㄥ
策 ㄘㄜˋ
功 ㄍㄨㄥ
茂 ㄇㄠˋ
實 ㄕˊ
勒 ㄌㄜˋ
碑 ㄅㄟ
刻 ㄎㄜˋ
銘 ㄇㄧㄥˊ
磻 ㄆㄢˊ
溪 ㄒㄧ
伊 ㄧ
尹 ㄧㄣˇ
佐 ㄗㄨㄛˇ
時 ㄕˊ
阿 ㄜ
衡 ㄏㄥˊ
奄 ㄧㄢ
宅 ㄓㄜˋ
曲 ㄑㄩ
阜 ㄈㄨˋ
微 ㄨㄟˊ
旦 ㄉㄢˋ
孰 ㄕㄨˊ
營 ㄧㄥˊ
桓 ㄏㄨㄢˊ
公 ㄍㄨㄥ
匡 ㄎㄨㄤ
合 ㄏㄜˊ
濟 ㄐㄧˋ
弱 ㄖㄨㄛˋ
扶 ㄈㄨˊ
傾 ㄑㄧㄥ
綺 ㄑㄧˇ
迴 ㄏㄨㄟˊ
漢 ㄏㄢˋ
惠 ㄏㄨㄟˋ
說 ㄩㄝˋ
感 ㄍㄢˇ
武 ㄨˇ
丁 ㄉㄧㄥ
俊 ㄐㄩㄣˋ
乂 ㄧˋ
密 ㄇㄧˋ
勿 ㄨˋ
多 ㄉㄨㄛ
士 ㄕˋ
寔 ㄕˊ
寧 ㄋㄧㄥˊ
晉 ㄐㄧㄣˋ
楚 ㄔㄨˇ
更 ㄍㄥ
霸 ㄅㄚˋ
趙 ㄓㄠˋ
魏 ㄨㄟˋ
困 ㄎㄨㄣˋ
橫 ㄏㄥˊ
假 ㄐㄧㄚˇ
途 ㄊㄨˊ
滅 ㄇㄧㄝˋ
虢 ㄍㄨㄛˊ
踐 ㄐㄧㄢˋ
土 ㄊㄨˇ
會 ㄏㄨㄟˋ
盟 ㄇㄥˊ
何 ㄏㄜˊ
遵 ㄗㄨㄣ
約 ㄩㄝ
法 ㄈㄚˇ
韓 ㄏㄢˊ
弊 ㄅㄧˋ
煩 ㄈㄢˊ
刑 ㄒㄧㄥˊ
起 ㄑㄧˇ
翦 ㄐㄧㄢˇ
頗 ㄆㄛˇ
牧 ㄇㄨˋ
用 ㄩㄥˋ
軍 ㄐㄩㄣ
最 ㄗㄨㄟˋ
精 ㄐㄧㄥ
宣 ㄒㄩㄢ
威 ㄨㄟ
沙 ㄕㄚ
漠 ㄇㄛˋ
馳 ㄔˊ
譽 ㄩˋ
丹 ㄉㄢ
青 ㄑㄧㄥ
九 ㄐㄧㄡˇ
州 ㄓㄡ
禹 ㄩˇ
跡 ㄐㄧ
百 ㄅㄞˇ
郡 ㄐㄩㄣˋ
秦 ㄑㄧㄣˊ
并 ㄅㄧㄥˋ
嶽 ㄩㄝˋ
宗 ㄗㄨㄥ
恒 ㄏㄥˊ
岱 ㄉㄞˋ
禪 ㄕㄢˋ
主 ㄓㄨˇ
云 ㄩㄣˊ
亭 ㄊㄧㄥˊ
雁 ㄧㄢˋ
門 ㄇㄣˊ
紫 ㄗˇ
塞 ㄙㄞˋ
雞 ㄐㄧ
田 ㄊㄧㄢˊ
赤 ㄔˋ
城 ㄔㄥˊ
昆 ㄎㄨㄣ
池 ㄔˊ
碣 ㄐㄧㄝˊ
石 ㄕˊ
鉅 ㄐㄩˋ
野 ㄧㄝˇ
洞 ㄉㄨㄥˋ
庭 ㄊㄧㄥˊ
曠 ㄎㄨㄤˋ
遠 ㄩㄢˇ
綿 ㄇㄧㄢˊ
邈 ㄇㄧㄠˇ
巖 ㄧㄢˊ
岫 ㄒㄧㄡˋ
杳 ㄧㄠˇ
冥 ㄇㄧㄥˊ
治 ㄓˋ
本 ㄅㄣˇ
於 ㄩˊ
農 ㄋㄨㄥˊ
務 ㄨˋ
茲 ㄗ
稼 ㄐㄧㄚˋ
穡 ㄙㄜˋ
俶 ㄔㄨˋ
載 ㄗㄞˋ
南 ㄋㄢˊ
畝 ㄇㄨˇ
我 ㄨㄛˇ
藝 ㄧˋ
黍 ㄕㄨˇ
稷 ㄐㄧˋ
稅 ㄕㄨㄟˋ
熟 ㄕㄨˊ
貢 ㄍㄨㄥˋ
新 ㄒㄧㄣ
勸 ㄑㄩㄢˋ
賞 ㄕㄤˇ
黜 ㄔㄨˋ
陟 ㄓˋ
孟 ㄇㄥˋ
軻 ㄎㄜ
敦 ㄉㄨㄣ
素 ㄙㄨˋ
史 ㄕˇ
魚 ㄩˊ
秉 ㄅㄧㄥˇ
直 ㄓˊ
庶 ㄕㄨˋ
幾 ㄐㄧ
中 ㄓㄨㄥ
庸 ㄩㄥ
勞 ㄌㄠˊ
謙 ㄑㄧㄢ
謹 ㄐㄧㄣˇ
敕 ㄔˋ
聆 ㄌㄧㄥˊ
音 ㄧㄣ
察 ㄔㄚˊ
理 ㄌㄧˇ
鑒 ㄐㄧㄢˋ
貌 ㄇㄠˋ
辨 ㄅㄧㄢˋ
色 ㄙㄜˋ
貽 ㄧˊ
厥 ㄐㄩㄝˊ
嘉 ㄐㄧㄚ
猷 ㄧㄡˊ
勉 ㄇㄧㄢˇ
其 ㄑㄧˊ
祗 ㄓ
植 ㄓˊ
省 ㄒㄧㄥˇ
躬 ㄍㄨㄥ
譏 ㄐㄧ
誡 ㄐㄧㄝˋ
寵 ㄔㄨㄥˇ
增 ㄗㄥ
抗 ㄎㄤˋ
極 ㄐㄧˊ
殆 ㄉㄞˋ
辱 ㄖㄨˋ
近 ㄐㄧㄣˋ
恥 ㄔˇ
林 ㄌㄧㄣˊ
皋 ㄍㄠ
幸 ㄒㄧㄥˋ
即 ㄐㄧˊ
兩 ㄌㄧㄤˇ
疏 ㄕㄨ
見 ㄐㄧㄢˋ
機 ㄐㄧ
解 ㄐㄧㄝˇ
組 ㄗㄨˇ
誰 ㄕㄟˊ
逼 ㄅㄧ
索 ㄙㄨㄛˇ
居 ㄐㄩ
閒 ㄒㄧㄢˊ
處 ㄔㄨˇ
沉 ㄔㄣˊ
默 ㄇㄛˋ
寂 ㄐㄧˊ
寥 ㄌㄧㄠˊ
求 ㄑㄧㄡˊ
古 ㄍㄨˇ
尋 ㄒㄩㄣˊ
論 ㄌㄨㄣˋ
散 ㄙㄢˋ
慮 ㄌㄩˋ
逍 ㄒㄧㄠ
遙 ㄧㄠˊ
欣 ㄒㄧㄣ
奏 ㄗㄡˋ
累 ㄌㄟˇ
遣 ㄑㄧㄢˇ
慼 ㄑㄧ
謝 ㄒㄧㄝˋ
歡 ㄏㄨㄢ
招 ㄓㄠ
渠 ㄑㄩˊ
荷 ㄏㄜˊ
的 ㄉㄧˋ
歷 ㄌㄧˋ
園 ㄩㄢˊ
莽 ㄇㄤˇ
抽 ㄔㄡ
條 ㄊㄧㄠˊ
枇 ㄆㄧˊ
杷 ㄆㄚˊ
晚 ㄨㄢˇ
翠 ㄘㄨㄟˋ
梧 ㄨˊ
桐 ㄊㄨㄥˊ
早 ㄗㄠˇ
凋 ㄉㄧㄠ
陳 ㄔㄣˊ
根 ㄍㄣ
委 ㄨㄟˇ
翳 ㄧˋ
落 ㄌㄨㄛˋ
葉 ㄧㄝˋ
飄 ㄆㄧㄠ
颻 ㄧㄠˊ
遊 ㄧㄡˊ
鵾 ㄎㄨㄣ
獨 ㄉㄨˊ
運 ㄩㄣˋ
凌 ㄌㄧㄥˊ
摩 ㄇㄛˊ
絳 ㄐㄧㄤˋ
霄 ㄒㄧㄠ
耽 ㄉㄢ
讀 ㄉㄨˊ
翫 ㄨㄢˋ
市 ㄕˋ
寓 ㄩˋ
目 ㄇㄨˋ
囊 ㄋㄤˊ
箱 ㄒㄧㄤ
易 ㄧˋ
輶 ㄧㄡˊ
攸 ㄧㄡ
畏 ㄨㄟˋ
屬 ㄓㄨˇ
耳 ㄦˇ
垣 ㄩㄢˊ
牆 ㄑㄧㄤˊ
具 ㄐㄩˋ
膳 ㄕㄢˋ
餐 ㄘㄢ
飯 ㄈㄢˋ
適 ㄕˋ
口 ㄎㄡˇ
充 ㄔㄨㄥ
腸 ㄔㄤˊ
飽 ㄅㄠˇ
飫 ㄩˋ
烹 ㄆㄥ
宰 ㄗㄞˇ
飢 ㄐㄧ
厭 ㄧㄢˋ
糟 ㄗㄠ
糠 ㄎㄤ
親 ㄑㄧㄣ
戚 ㄑㄧ
故 ㄍㄨˋ
舊 ㄐㄧㄡˋ
老 ㄌㄠˇ
少 ㄕㄠˋ
異 ㄧˋ
糧 ㄌㄧㄤˊ
妾 ㄑㄧㄝˋ
御 ㄩˋ
績 ㄐㄧ
紡 ㄈㄤˇ
侍 ㄕˋ
巾 ㄐㄧㄣ
帷 ㄨㄟˊ
房 ㄈㄤˊ
紈 ㄨㄢˊ
扇 ㄕㄢˋ
圓 ㄩㄢˊ
潔 ㄐㄧㄝˊ
銀 ㄧㄣˊ
燭 ㄓㄨˊ
煒 ㄨㄟˇ
煌 ㄏㄨㄤˊ
晝 ㄓㄡˋ
眠 ㄇㄧㄢˊ
夕 ㄒㄧˋ
寐 ㄇㄟˋ
藍 ㄌㄢˊ
筍 ㄙㄨㄣˇ
象 ㄒㄧㄤˋ
床 ㄔㄨㄤˊ
弦 ㄒㄧㄢˊ
歌 ㄍㄜ
酒 ㄐㄧㄡˇ
宴 ㄧㄢˋ
接 ㄐㄧㄝ
杯 ㄅㄟ
舉 ㄐㄩˇ
觴 ㄕㄤ
矯 ㄐㄧㄠˇ
手 ㄕㄡˇ
頓 ㄉㄨㄣˋ
足 ㄗㄨˊ
悅 ㄩㄝˋ
豫 ㄩˋ
且 ㄑㄧㄝˇ
康 ㄎㄤ
嫡 ㄉㄧˊ
後 ㄏㄡˋ
嗣 ㄙˋ
續 ㄒㄩˋ
祭 ㄐㄧˋ
祀 ㄙˋ
烝 ㄓㄥ
嘗 ㄔㄤˊ
稽 ㄑㄧˇ
顙 ㄙㄤˇ
再 ㄗㄞˋ
拜 ㄅㄞˋ
悚 ㄙㄨㄥˇ
懼 ㄐㄩˋ
恐 ㄎㄨㄥˇ
惶 ㄏㄨㄤˊ
牋 ㄐㄧㄢ
牒 ㄉㄧㄝˊ
簡 ㄐㄧㄢˇ
要 ㄧㄠˋ
顧 ㄍㄨˋ
答 ㄉㄚˊ
審 ㄕㄣˇ
詳 ㄒㄧㄤˊ
骸 ㄏㄞˊ
垢 ㄍㄡˋ
想 ㄒㄧㄤˇ
浴 ㄩˋ
執 ㄓˊ
熱 ㄖㄜˋ
願 ㄩㄢˋ
涼 ㄌㄧㄤˊ
驢 ㄌㄩˊ
騾 ㄌㄨㄛˊ
犢 ㄉㄨˊ
特 ㄊㄜˋ
駭 ㄏㄞˋ
躍 ㄩㄝˋ
超 ㄔㄠ
驤 ㄒㄧㄤ
誅 ㄓㄨ
斬 ㄓㄢˇ
賊 ㄗㄟˊ
盜 ㄉㄠˋ
捕 ㄅㄨˇ
獲 ㄏㄨㄛˋ
叛 ㄆㄢˋ
亡 ㄨㄤˊ
布 ㄅㄨˋ
射 ㄕㄜˋ
遼 ㄌㄧㄠˊ
丸 ㄨㄢˊ
嵇 ㄐㄧ
琴 ㄑㄧㄣˊ
阮 ㄖㄨㄢˇ
嘯 ㄒㄧㄠˋ
恬 ㄊㄧㄢˊ
筆 ㄅㄧˇ
倫 ㄌㄨㄣˊ
紙 ㄓˇ
鈞 ㄐㄩㄣ
巧 ㄑㄧㄠˇ
任 ㄖㄣˊ
釣 ㄉㄧㄠˋ
釋 ㄕˋ
紛 ㄈㄣ
利 ㄌㄧˋ
俗 ㄙㄨˊ
並 ㄅㄧㄥˋ
皆 ㄐㄧㄝ
佳 ㄐㄧㄚ
妙 ㄇㄧㄠˋ
毛 ㄇㄠˊ
施 ㄕ
淑 ㄕㄨˊ
姿 ㄗ
工 ㄍㄨㄥ
顰 ㄆㄧㄣˊ
妍 ㄧㄢˊ
笑 ㄒㄧㄠˋ
年 ㄋㄧㄢˊ
矢 ㄕˇ
每 ㄇㄟˇ
催 ㄘㄨㄟ
曦 ㄒㄧ
暉 ㄏㄨㄟ
朗 ㄌㄤˇ
曜 ㄧㄠˋ
璇 ㄒㄩㄢˊ
璣 ㄐㄧ
懸 ㄒㄩㄢˊ
斡 ㄨㄛˋ
晦 ㄏㄨㄟˋ
魄 ㄆㄛˋ
環 ㄏㄨㄢˊ
照 ㄓㄠˋ
指 ㄓˇ
薪 ㄒㄧㄣ
修 ㄒㄧㄡ
祜 ㄏㄨˋ
永 ㄩㄥˇ
綏 ㄙㄨㄟ
吉 ㄐㄧˊ
劭 ㄕㄠˋ
矩 ㄐㄩˇ
步 ㄅㄨˋ
引 ㄧㄣˇ
領 ㄌㄧㄥˇ
俯 ㄈㄨˇ
仰 ㄧㄤˇ
廊 ㄌㄤˊ
廟 ㄇㄧㄠˋ
束 ㄕㄨˋ
帶 ㄉㄞˋ
矜 ㄐㄧㄣ
莊 ㄓㄨㄤ
徘 ㄆㄞˊ
徊 ㄏㄨㄞˊ
瞻 ㄓㄢ
眺 ㄊㄧㄠˋ
孤 ㄍㄨ
陋 ㄌㄡˋ
寡 ㄍㄨㄚˇ
聞 ㄨㄣˊ
愚 ㄩˊ
蒙 ㄇㄥˊ
等 ㄉㄥˇ
誚 ㄑㄧㄠˋ
謂 ㄨㄟˋ
語 ㄩˇ
助 ㄓㄨˋ
者 ㄓㄜˇ
焉 ㄧㄢ
哉 ㄗㄞ
乎 ㄏㄨ
也 ㄧㄝˇ
